Data,Nazwa stacji,Lokalizacja,Województwo,Temperatura wody[°C]
2023-05-06,BORUCINO,Jez. Raduńskie Górne,pomorskie,brak danych
2023-05-06,GARDNA WIELKA,Jez. Gardno,pomorskie,9.7
2023-05-06,CHARZYKOWY,Jez. Charzykowskie,pomorskie,brak danych
2023-05-06,SĘPÓLNO KRAJEŃSKIE,Jez. Sępoleńskie,kujawsko-pomorskie,brak danych
2023-05-06,PRZYJEZIERZE,Jez. Morzycko,zachodniopomorskie,12.6
2023-05-06,PRZEŁAZY,Jez. Niesłysz,lubuskie,13.8
2023-05-06,RADZYŃ,Jez. Sławskie,lubuskie,13.3
2023-05-06,KRUSZWICA,Jez. Gopło,kujawsko-pomorskie,13.3
2023-05-06,POWIDZ,Jez. Powidzkie,wielkopolskie,11.7
2023-05-06,IŁAWA,Jez. Jeziorak,warmińsko-mazurskie,13.1
2023-05-06,BACHOTEK,Jez. Bachotek,kujawsko-pomorskie,12.4
2023-05-06,DADAJ,Jez. Dadaj,warmińsko-mazurskie,9.8
2023-05-06,JEZIORNA,Jez. Wdzydze,pomorskie,brak danych
2023-05-07,EŁK,Jez. Ełckie,warmińsko-mazurskie,11.5
2023-05-07,BORKI,Jez. Litygajno,warmińsko-mazurskie,11.6
2023-05-07,PRZEWIĘŹ,Jez. Studzieniczne,podlaskie,12.4
2023-05-07,PRZEWIĘŹ,Jez. Białe Augustowskie,podlaskie,12.0
2023-05-07,MALDANIN,Jez. Roś,warmińsko-mazurskie,12.1
2023-05-07,WÓLKA,Jez. Rospuda Filipowska,podlaskie,brak danych
2023-05-07,WRÓBEL,Jez. Hańcza,podlaskie,7.8
2023-05-07,RUCIANE-NIDA,Jez. Nidzkie,warmińsko-mazurskie,10.2
2023-05-07,SORDACHY,Jez. Selmęt Wielki,warmińsko-mazurskie,11.8
2023-05-07,WIGRY,Jez. Wigry,podlaskie,10.8
2023-05-07,RAJGRÓD,Jez. Rajgrodzkie,podlaskie,10.0
2023-05-07,ŚWINOUJŚCIE,Bałtyk,zachodniopomorskie,10.5
2023-05-07,TRZEBIEŻ,Zalew Szczeciński,zachodniopomorskie,12.5
2023-05-07,NOWA PASŁĘKA,Zalew Wiślany,warmińsko-mazurskie,brak danych
2023-05-07,TOLKMICKO,Zalew Wiślany,warmińsko-mazurskie,12.8
2023-05-07,MIĘDZYZDROJE,Bałtyk,zachodniopomorskie,9.8
2023-05-07,KOŁOBRZEG,Morze Bałtyckie,zachodniopomorskie,10.5
2023-05-07,USTKA,Morze Bałtyckie,pomorskie,10.5
2023-05-07,WŁADYSŁAWOWO,Morze Bałtyckie,pomorskie,brak danych
2023-05-07,HEL,Morze Bałtyckie,pomorskie,7.7
2023-05-07,PUCK,Morze Bałtyckie,pomorskie,brak danych
2023-05-07,MIKOŁAJKI,Jez. Mikołajskie,warmińsko-mazurskie,10.2
2023-05-07,MORSKIE OKO,Morskie Oko,małopolskie,brak danych
2023-05-07,PRZYSTAŃ,Jez. Mamry,warmińsko-mazurskie,11.1
2023-05-07,GDYNIA,Morze Bałtyckie,pomorskie,brak danych
2023-05-07,DADAJ,Jez. Dadaj,warmińsko-mazurskie,10.0
2023-05-07,GARDNA WIELKA,Jez. Gardno,pomorskie,9.6
2023-05-07,UNIEŚCIE,Jez. Jamno,zachodniopomorskie,9.2
2023-05-07,IZBICA,Jez. Łebsko,pomorskie,9.1
2023-05-07,SIKORY,Jez. Komorze,zachodniopomorskie,11.5
2023-05-07,CZAPLINEK,Jez. Drawsko,zachodniopomorskie,7.0
2023-05-07,LUBIESZEWO,Jez. Lubie,zachodniopomorskie,10.6
2023-05-07,IŃSKO,Jez. Ińsko,zachodniopomorskie,9.3
